authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Thomas Jeanjean; ESSEC Business School; Cergy-Pontoise, France;NA;NA;NA;22;France;Cergy-Pontoise
Peter Mcleod Jackson; School of BusinessLeicester University; Leicester, United Kingdom;NA;NA;NA;2;United Kingdom;Leicester
Philippe Jeanneaux; Clermont Université, VetAgro Sup, Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement (UMR Territoires) (Institute of Higher Education and Research in food, animal health, agricultural sciences and the environment); France, Clermont-Ferrand;NA;3;NA;22;France;Clermont-Ferrand
William A Jackson; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;0;United Kingdom;York
Ikram Jebabli; Institut de Préparation à l'Administration et à la Gestion (IPAG); Paris, France;NA;NA;NA;2;France;Paris
Jojo Jacob;(99%) Grenoble École de Management; Grenoble, France;NA;NA;NA;19;France;Grenoble
Julien Jacob; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;1;NA;13;France;Nancy
Nick Jacob; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;24;United Kingdom;Brighton
Michael G Jacobides; London Business School (LBS); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Yves Jegourel;(50%) Laboratoire d'Analyse et de Recherche Économiques et Finance Internationales (LAREFI)Université de Bordeaux; Bordeaux, France;NA;NA;NA;5;France;Bordeaux
Philippe Jehiel; Paris School of Economics; Paris, France;NA;NA;NA;130;France;Paris
Meglena Jeleva; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;1;NA;7;France;Nanterre
James Johnston; School of Business and EntrepreneurshipUniversity of the West of Scotland; Paisley, United Kingdom;NA;NA;NA;0;United Kingdom;Paisley
Izabela Jelovac; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;NA;2;35;France;Lyon
Nick Johnstone; Agence Internationale de l'Énergie; Paris, France;NA;26;NA;117;France;Paris
Luc Jacolin; Banque de France; Paris, France;3;1;2;34;France;Paris
Farai Jena; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;1;2;United Kingdom;Brighton
Julien Jacqmin; Neoma Business School; Rouen/Reims, France;NA;3;NA;26;France;Rouen
Philippe Jacquart; EMLYON Business School; Lyon, France;NA;NA;NA;0;France;Lyon
Robert A Joliet;(50%) IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;0;France;Lille
Nicolas Jacquemet;(51%) Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;3;NA;367;France;Paris
Albert Jolink; SKEMA Business School; Lille, France;NA;NA;NA;1;France;Lille
Annie Jolivet; Centre d'Études de l'Emploi et du Travail (CEET)Conservatoire National des Arts et Métiers (CNAM); Noisy-le-Grand, France;NA;NA;NA;1;France;Noisy le Grand
Jean-Francois Jacques; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;4;NA;19;France;Créteil
Eric J Jolivet; Institute d'Administration des Entreprises (IAE)Université Toulouse I Capitole; Toulouse, France;NA;NA;NA;0;France;Toulouse
Florence Jacquet; Unité Mixte de Recherche Marchés, Organisations, Institutions et Stratégies d'Acteurs (UMR MOISA)Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Montpellier, France;NA;2;NA;6;France;Montpellier
Gregory Jolivet;"Centre for Structural Econometrics
School of Economics
University of Bristol"; Bristol, United Kingdom;NA;NA;NA;28;United Kingdom;Bristol
Laurence Michele Jacquet; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;65;France;Cergy-Pontoise
Justin Jenk;(50%) Spaces of GlobalisationSchool of Geography and the EnvironmentOxford University; Oxford, United Kingdom;NA;NA;NA;0;United Kingdom;Oxford
Antoine Jacquier; Imperial College London - Department of Mathematics; London, United Kingdom;NA;NA;NA;19;United Kingdom;London
Iragael Joly; Laboratoire d'Économie Appliquée de Grenoble; Grenoble, France;NA;1;NA;20;France;Grenoble
Philippe Jacquinot; Laboratoire en Innovation, Technologies, Économie et Management (LITEM)Université d'Évry Val d'Essonne; Évry, France;NA;NA;NA;0;France;Évry
Stephen P Jenkins;(80%) Department of Social PolicyLondon School of Economics (LSE); London, United Kingdom;NA;NA;4;328;United Kingdom;London
Tim Jenkinson; Saïd Business SchoolOxford University; Oxford, United Kingdom;NA;NA;NA;22;United Kingdom;Oxford
Christophe Jadeau; Banque de France; Paris, France;NA;NA;NA;1;France;Paris
Thanasak Jenmana;(50%) Paris School of Economics; Paris, France;NA;NA;NA;2;France;Paris
Colin Jennings; Department of Political EconomyKing's College London; London, United Kingdom;NA;NA;1;33;United Kingdom;London
Andrew Michael Jones;(99%) Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;167;United Kingdom;York
Barbara Jones; Manchester Institute of Innovation Research (MIoIR)Alliance Manchester Business SchoolUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;0;United Kingdom;Manchester
Frederic Jenny; Département d'ÉconomieESSEC Business School; Cergy-Pontoise, France;NA;NA;NA;0;France;Cergy-Pontoise
David A Jaeger;(94%) School of Economics and FinanceUniversity of St. Andrews; Fife, United Kingdom;NA;NA;NA;94;United Kingdom;Fife
Kai Jaeger; Department of Political EconomyKing's College London; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Brian Mervyn Jones; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;0;United Kingdom;Bangor
Calvin Jones; Cardiff Business SchoolCardiff University; Cardiff, United Kingdom;NA;NA;NA;5;United Kingdom;Cardiff
Chris Jones; Aston Business SchoolAston University; Birmingham, United Kingdom;3;NA;3;12;United Kingdom;Birmingham
Manuel Jaen-Garcia; Departamento de Economía AplicadaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Almería; Almería, Spain;NA;NA;NA;0;Spain;Almería
Hans Grinsted Jensen; Joint Research CentreEuropean Commission; Sevilla, Spain;1;NA;NA;20;Spain;Sevilla
Saqib Jafarey; Department of EconomicsCity University; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Howard Jones; Saïd Business SchoolOxford University; Oxford, United Kingdom;NA;NA;NA;6;United Kingdom;Oxford
Martin Kaae Jensen;(70%) Granger Centre for Time Series EconometricsSchool of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;1;28;United Kingdom;Nottingham
Shabbar Jaffry; Economics and Finance GroupPortsmouth Business SchoolUniversity of Portsmouth; Portsmouth, United Kingdom;NA;NA;NA;0;United Kingdom;Portsmouth
Juvaria Jafri; City Political Economy Research Centre (CITYPERC)Department of International PoliticsCity University; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Karen Jones; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;0;United Kingdom;Bangor
Kevin Dwayne Jones; International School of Management; Paris, France;NA;NA;NA;3;France;Paris
Martin Keith Jones; Department of Economics StudiesUniversity of Dundee; Dundee, United Kingdom;NA;NA;NA;11;United Kingdom;Dundee
Dirk Jenter;(98%) Finance DepartmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;42;United Kingdom;London
Anne Jeny; ESSEC Business School; Cergy-Pontoise, France;NA;NA;NA;17;France;Cergy-Pontoise
Doh-Shin Jeon; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;1;228;France;Toulouse
Joo Young Jeon; Department of EconomicsUniversity of Reading; Reading, United Kingdom;NA;NA;NA;20;United Kingdom;Reading
Jooyoung Jeon; School of ManagementUniversity of Bath; Bath, United Kingdom;NA;NA;NA;0;United Kingdom;Bath
Esteban Jaimovich; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;1;27;United Kingdom;Guildford
Yakama Manty Jones;(47%) Department of ManagementBirkbeck College; London, United Kingdom;1;NA;NA;2;United Kingdom;London
Neelam Jain; Department of EconomicsCity University; London, United Kingdom;NA;NA;NA;8;United Kingdom;London
Vahagn Jerbashian; Departament de Teoria EconómicaFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;50;Spain;Barcelona
Simcha Jong; Department of Management Science and InnovationUniversity College London (UCL); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Belen Jerez; Departamento de EconomíaUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;29;Spain;Madrid
Miguel Jerez; Instituto Complutense de Analisis Economico (ICAE)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;13;Spain;Madrid
Koen Jonkers; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;1;NA;38;Spain;Sevilla
Bruno Jerome; Centre de Recherche en Économie et Droit (CRED)Département de Sciences Économiques et de GestionUniversité Panthéon-Assas (Paris II); Paris, France;NA;NA;NA;0;France;Paris
Hyungseok Joo; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;6;United Kingdom;Guildford
Sanjay Jain;(95%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;9;United Kingdom;Oxford
Elisabeth Joossens; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;2;Spain;Sevilla
David St John Jesson;"Centre For Performance Evaluation And Resource Management (CPERM)
Department of Economics and Related Studies
University of York"; York, United Kingdom;NA;NA;NA;0;United Kingdom;York
VICTOR JESUS Sr JESUS Garcia; Granada Lab of Behavioral Economics (GLOBE)Facultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Sarah Louise Jewell; Department of EconomicsUniversity of Reading; Reading, United Kingdom;NA;NA;NA;33;United Kingdom;Reading
Ian Jewitt; Economics Group, Nuffield CollegeDepartment of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;20;United Kingdom;Oxford
Jorge Jorge Gonzalez-Chapela; Universidad de Zaragoza - Centro Universitario de la Defensa; Spain, Zaragoza;NA;NA;NA;13;Spain;Zaragoza
Bjorn Nybo Jorgensen; London School of Economics (LSE); London, United Kingdom;NA;NA;NA;13;United Kingdom;London
Diego Jorrat;(50%) Fundación ETEA para el Desarrollo y la CooperaciónUniversidad Loyola Andalucía; Córdoba, Spain;NA;NA;NA;29;Spain;Córdoba
Jose Jose Callejon-Cespedes; Departamento de Métodos Cuantitativos para la Economía y la EmpresaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Jiao Ji; Management SchoolUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;8;United Kingdom;Sheffield
Andreas Joseph; Bank of England; London, United Kingdom;NA;NA;NA;31;United Kingdom;London
Maria Ana Jalles d Orey;(50%) School of International DevelopmentUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;0;United Kingdom;Norwich
Borja Jalon; Departamento de Análisis Económico y Economía CuantitativaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;4;Spain;Madrid
Gregory A James; Leicester Castle Business SchoolDe Montfort University; Leicester, United Kingdom;1;NA;4;21;United Kingdom;Leicester
Chunxia Jiang; Department of EconomicsBusiness SchoolMiddlesex University; Hendon, United Kingdom;NA;NA;NA;0;United Kingdom;Hendon
Simon James; Business SchoolUniversity of Exeter; Exeter, United Kingdom;NA;NA;NA;6;United Kingdom;Exeter
Jill Jameson; University of Greenwich - School of Education and Training (University of Greenwich - School of Education and Training); United Kingdom, London;NA;NA;NA;0;United Kingdom;London
Jean-Michel Josselin;Centre de Recherche en Économie et Management (CREM) (Economics and Management Research Center); Rennes/Caen, France;NA;NA;NA;5;France;Rennes
Marie-Agnes Jouanjean; Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;21;France;Paris
Rustam Jamilov; Department of EconomicsLondon Business School (LBS); London, United Kingdom;NA;NA;NA;7;United Kingdom;London
Chouaib Jouf; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;6;France;Nanterre
Rania Jammazi; Institut de Préparation à l'Administration et à la Gestion (IPAG); Paris, France;NA;NA;NA;6;France;Paris
Elyes Jouini; Centre de Recherches en Mathématiques de la Décision (CEREMADE)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;32;France;Paris
Lingqing Jiang; Economics DepartmentUniversity of Essex; Colchester, United Kingdom;NA;NA;NA;2;United Kingdom;Colchester
Isabelle Joumard; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;1;61;France;Paris
Romain Jourdheuil; Bordeaux Sciences Économiques (BSE)Université de Bordeaux; Bordeaux, France;NA;NA;NA;0;France;Bordeaux
Neng Jiang; Management SchoolUniversity of Sheffield; Sheffield, United Kingdom;NA;NA;NA;0;United Kingdom;Sheffield
Pierre-Andre Jouvet; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;29;NA;94;France;Nanterre
Shifu Jiang; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;4;United Kingdom;Guildford
Justine Jouxtel;(50%) Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;0;France;Paris
Wei Jiang; School of EconomicsUniversity of Kent; Canterbury, United Kingdom;NA;NA;NA;15;United Kingdom;Canterbury
Mark Joy; Bank of England; London, United Kingdom;NA;NA;NA;21;United Kingdom;London
Michael Joyce; Bank of England; London, United Kingdom;NA;NA;NA;27;United Kingdom;London
Zhang Jiangxingyun;(50%) Faculté des Sciences ÉconomiquesUniversité de Rennes 1; Rennes, France;NA;NA;NA;0;France;Rennes
Charlie Marius Joyez; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;NA;17;France;Nice
Katharina Marie Janke; Lancaster University, Faculty of Health and Medicine, Division of Health Research; Lancaster, United Kingdom;NA;NA;NA;20;United Kingdom;Lancaster
Peiran Jiao;(50%) Economics Group, Nuffield CollegeDepartment of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;10;United Kingdom;Oxford
Yuan Ju; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;5;United Kingdom;York
Francisco Juarez; Departamento de Análisis Económico AplicadoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;9;Spain;Alicante
Ahmat Jidoud; Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ)Toulouse School of Economics (TSE); Toulouse, France;1;NA;NA;6;France;Toulouse
Miguel A Juarez; University of Sheffield School of Mathematics and Statistics; United Kingdom, Sheffield;NA;NA;NA;4;United Kingdom;Sheffield
Ramona Jimborean; Banque de France; Paris, France;NA;NA;NA;25;France;Paris
Ole Jann;(90%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;7;United Kingdom;Oxford
Gregory Mathieu Jannin; Pôle de Recherche Interdisciplinaire en Management (PRISM)Université Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;5;France;Paris
Gabriel Jimenez; Banco de España; Madrid, Spain;NA;NA;NA;42;Spain;Madrid
Natalia Jimenez;(70%) Unidad Académica de EconomíaDepartamento de Economía, Métodos Cuantitativos e Historia EconómicaUniversidad Pablo de Olavide; Sevilla, Spain;NA;NA;NA;64;Spain;Sevilla
Cristina Jude;(80%) Banque de France; Paris, France;NA;NA;2;39;France;Paris
Raul Jimenez; Departamento de EstadisticaUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Eamonn Judge; Leeds Business SchoolLeeds Beckett University; Leeds, United Kingdom;NA;NA;NA;0;United Kingdom;Leeds
Maria Magdalena Jimenez-Barrionuevo; Departamento de Organización de EmpresasFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Mercedes JIMENEZ Garcia; Departamento de Economía GeneralUniversidad de Cádiz; Cádiz, Spain;NA;NA;NA;0;Spain;Cádiz
Marcel Jansen; Departamento de Análisis Económico: Teoría Económica e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;50;Spain;Madrid
Noelia Jimenez-Magan; Banco de España; Madrid, Spain;NA;NA;NA;3;Spain;Madrid
Juan Angel Jimenez-Martin;(50%) Departamento de Análisis Económico y Economía CuantitativaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;167;Spain;Madrid
